Step	Best	Median	Predicted	Progress
571	6.52131	29.5817	-53.6113	0.00449928
572	5.96761	23.6305	-53.2807	0.0044998
573	6.31019	25.4347	-52.9899	0.00449588
574	6.40017	27.2891	-52.3231	0.00445956
575	6.51458	26.9068	-51.0176	0.00438521
576	6.93527	26.2835	-50.1846	0.00435471
577	6.47465	23.2253	-49.3327	0.00430956
578	6.29507	21.6509	-48.5452	0.00427377
579	7.3664	27.8303	-48.1098	0.00426569
580	6.49307	29.1505	-47.7828	0.00426152
581	6.31769	23.8843	-46.405	0.00417892
582	6.09991	26.0139	-45.5534	0.00413526
583	6.28137	23.0142	-44.5424	0.00409267
584	7.37298	22.8292	-43.6446	0.0040513
585	6.03238	24.5593	-42.4926	0.00399121
